,Unnamed: 0,State,sub_eighteen,nineteen_to_twenty_four,twenty_five_to_thirty_four,thirty_five_to_fifty_four,fifty_five_to_sixty_4,sixty_five_plus,avgPrice,totSales,Populations,avosPp,totSpendings,avgHouse Price,Category
0,0,Arizona,24.9,9.4,11.8,24.6,12.1,17.2,1.255339806,59273036.57,6941072,8.539464303,74407802.23,190008.3333,1
1,1,California,24.5,9.8,13.3,26.7,12.1,13.7,1.703583815,642575537.1,39167117,16.40599529,1094681285,415425,4
2,2,Colorado,24.1,9.3,13.5,26.8,12.8,13.5,9.677669903,687852785.1,5539215,124.1787483,6656812196,294250,4
3,3,Connecticut,22.5,8.8,11,27.2,14.5,16,11.53203883,703544839,3578141,196.6230059,8113306402,221366.6667,1
4,4,Florida,21.3,8.5,11.3,25.5,13.4,20,4.183445783,786025825.7,20613477,38.13164687,3288296426,179450,1
5,5,Georgia,26.1,9.1,12.1,27.3,12.2,13.3,18.06718447,814344750.7,10301890,79.04809221,14712916833,157191.6667,2
6,6,Idaho,27.4,8.8,11.8,24.2,12.4,15.3,19.20776699,818997060.1,1682380,486.8086045,15731104696,188841.6667,1
7,7,Illinois,24.2,9,12.5,26.7,13.1,14.5,10.96951691,1036266400,12820527,80.8286898,11367341798,158858.3333,3
8,8,Indiana,25.2,9.4,11.5,25.7,13.3,14.9,23.34485437,1045428796,6634304,157.5792722,24405382997,129900,1
9,9,Kentucky,24.2,9,11.3,26.3,13.7,15.5,24.55126214,1050504068,4438182,236.6969331,25791200753,138500,1
10,10,Louisiana,25.5,9.3,12.6,25.2,13,14.5,25.79728155,1065141528,4678135,227.6850771,27477755888,162025,3
11,11,Massachusetts,21.8,8.9,12.7,27,13.8,15.8,27.22504854,1095705214,6823608,160.5756389,29830627637,329975,3
12,12,Michigan,23.2,9.4,11.3,25.7,14.3,16.2,14.88710145,1123756918,9950571,112.9339128,16729483243,128041.6667,1
13,13,Missouri,24.4,8.7,11.8,25.6,13.7,15.9,31.10737864,1134391368,6087135,186.3588319,35287941810,143775,1
14,14,Nebraska,25.9,9.4,11.9,25,12.9,14.9,32.48368932,1229594046,1905616,645.2475452,39941750980,147233.3333,1
15,15,Nevada,24.2,8.9,12.7,26.6,12.5,15.1,33.83281553,1246493507,2917563,427.2379061,42172384882,210275,3
16,16,New Mexico,24.8,9.3,11.8,24.3,13.4,16.5,36.46660194,1312424143,2091630,627.4647729,47859648799,180366.6667,1
17,17,New York,22.3,9.3,13.1,26.8,13.2,15.3,8.813121387,1618798987,19633428,82.45116375,14266671974,253475,4
18,18,North Carolina,24.2,8.7,11.5,27,13.1,15.5,45.90300971,1629381423,10154788,160.4544992,74793511281,167841.6667,1
19,19,Ohio,23.8,8.7,11.6,25.6,14.1,16.1,24.69545894,1667020691,11634370,143.2841392,41167841027,122200,1
20,20,Oregon,22.3,8.8,12.7,25.8,13.6,16.9,50.81990291,1704303952,4089976,416.702678,86612561370,272275,3
21,21,Pennsylvania,22.2,8.4,11.9,25.7,14.5,17.3,18.34090032,1745044281,12782275,136.5206335,32005683212,148175,1
22,22,South Carolina,23.7,8.7,11.6,25.6,13.6,16.9,56.68116505,1763741246,4957968,355.7387313,99970908670,158708.3333,1
23,23,Tennessee,24,8.8,11.8,26.5,13.2,15.7,29.43628019,1928495177,6646010,290.1733788,56767724375,148350,1
24,24,Texas,27.9,9.7,13,26.2,11.3,12,30.42855072,2050885570,27914410,73.47049678,62405475588,192841.6667,4
25,25,Virginia,23.9,8.8,12.1,27.2,13.3,14.9,31.60758454,2071505388,8410106,246.3114482,65475281676,244241.6667,2
26,26,Washington,23.6,8.9,13,26.4,13.2,14.9,22.4440836,2154591373,7294771,295.3610707,48357828899,290958.3333,4
